player_name,challenge_wins,challenge_appearances,sit_outs,votes_for_bootee,votes_against_player,total_votes,tribal_council_appearances,total_days,exile_days,reward_chl_win,reward_chl_teammates,reward_chl_win_perc,immun_chl_win,immun_chl_teammates,immun_chl_win_perc,season,episode
Sean,0.1428571429,0.2857142857,,1.0,,7.0,1.0,3.0,,1.0,7.0,0.1428571429,0.0,7.0,0.0,1,3
Colleen,0.1428571429,0.2857142857,,,,,,3.0,,0.0,7.0,0.0,1.0,7.0,0.1428571429,1,3
Gervase,0.1428571429,0.2857142857,,,,,,3.0,,0.0,7.0,0.0,1.0,7.0,0.1428571429,1,3
Jenna,0.1428571429,0.2857142857,,,,,,3.0,,0.0,7.0,0.0,1.0,7.0,0.1428571429,1,3
Greg,0.1428571429,0.2857142857,,,,,,3.0,,0.0,7.0,0.0,1.0,7.0,0.1428571429,1,3
Gretchen,0.1428571429,0.2857142857,,,,,,3.0,,0.0,7.0,0.0,1.0,7.0,0.1428571429,1,3
Joel,0.1428571429,0.2857142857,,,,,,3.0,,0.0,7.0,0.0,1.0,7.0,0.1428571429,1,3
Dirk,0.1428571429,0.2857142857,,1.0,,7.0,1.0,3.0,,1.0,7.0,0.1428571429,0.0,7.0,0.0,1,3
Ramona,0.1428571429,0.2857142857,,,,,,3.0,,0.0,7.0,0.0,1.0,7.0,0.1428571429,1,3
Stacey,0.1428571429,0.2857142857,,0.0,5.0,7.0,1.0,3.0,,1.0,7.0,0.1428571429,0.0,7.0,0.0,1,3
Richard,0.1428571429,0.2678571429,,,,,,3.0,,0.0,7.0,0.0,1.0,7.0,0.1428571429,1,2
Kelly W,0.1428571429,0.2678571429,,,,,,3.0,,0.0,7.0,0.0,1.0,7.0,0.1428571429,1,2
Rudy,0.1428571429,0.2678571429,,,,,,3.0,,0.0,7.0,0.0,1.0,7.0,0.1428571429,1,2
Sue,0.1428571429,0.2678571429,,,,,,3.0,,0.0,7.0,0.0,1.0,7.0,0.1428571429,1,2
Sean,0.1428571429,0.2678571429,,,,,,3.0,,0.0,7.0,0.0,1.0,7.0,0.1428571429,1,2
Colleen,0.125,0.2678571429,,1.0,,8.0,1.0,3.0,,1.0,8.0,0.125,0.0,8.0,0.0,1,2
Gervase,0.125,0.2678571429,,1.0,,8.0,1.0,3.0,,1.0,8.0,0.125,0.0,8.0,0.0,1,2
Jenna,0.125,0.2678571429,,1.0,,8.0,1.0,3.0,,1.0,8.0,0.125,0.0,8.0,0.0,1,2
Greg,0.125,0.2678571429,,0.0,,8.0,1.0,3.0,,1.0,8.0,0.125,0.0,8.0,0.0,1,2
Gretchen,0.125,0.2678571429,,1.0,,8.0,1.0,3.0,,1.0,8.0,0.125,0.0,8.0,0.0,1,2
Joel,0.125,0.2678571429,,1.0,,8.0,1.0,3.0,,1.0,8.0,0.125,0.0,8.0,0.0,1,2
Dirk,0.1428571429,0.2678571429,,,,,,3.0,,0.0,7.0,0.0,1.0,7.0,0.1428571429,1,2
Ramona,0.125,0.2678571429,,1.0,2.0,8.0,1.0,3.0,,1.0,8.0,0.125,0.0,8.0,0.0,1,2
Stacey,0.1428571429,0.2678571429,,,,,,3.0,,0.0,7.0,0.0,1.0,7.0,0.1428571429,1,2
B.B.,0.125,0.2678571429,,0.0,6.0,8.0,1.0,3.0,,1.0,8.0,0.125,0.0,8.0,0.0,1,2
Richard,0.0,0.125,,0.0,,8.0,1.0,3.0,,0.0,8.0,0.0,,,,1,1
Kelly W,0.0,0.125,,0.0,,8.0,1.0,3.0,,0.0,8.0,0.0,,,,1,1
Rudy,0.0,0.125,,1.0,3.0,8.0,1.0,3.0,,0.0,8.0,0.0,,,,1,1
Sue,0.0,0.125,,1.0,,8.0,1.0,3.0,,0.0,8.0,0.0,,,,1,1
Sean,0.0,0.125,,1.0,,8.0,1.0,3.0,,0.0,8.0,0.0,,,,1,1
Colleen,0.125,0.125,,,,,,3.0,,1.0,8.0,0.125,,,,1,1
Gervase,0.125,0.125,,,,,,3.0,,1.0,8.0,0.125,,,,1,1
Jenna,0.125,0.125,,,,,,3.0,,1.0,8.0,0.125,,,,1,1
Greg,0.125,0.125,,,,,,3.0,,1.0,8.0,0.125,,,,1,1
Gretchen,0.125,0.125,,,,,,3.0,,1.0,8.0,0.125,,,,1,1
Joel,0.125,0.125,,,,,,3.0,,1.0,8.0,0.125,,,,1,1
Dirk,0.0,0.125,,1.0,,8.0,1.0,3.0,,0.0,8.0,0.0,,,,1,1
Ramona,0.125,0.125,,,,,,3.0,,1.0,8.0,0.125,,,,1,1
Stacey,0.0,0.125,,0.0,1.0,8.0,1.0,3.0,,0.0,8.0,0.0,,,,1,1
B.B.,0.125,0.125,,,,,,3.0,,1.0,8.0,0.125,,,,1,1
Sonja,0.0,0.125,,0.0,4.0,8.0,1.0,3.0,,0.0,8.0,0.0,,,,1,1
Tina,0.0,1.0,,1.0,,3.0,1.0,3.0,,0.0,1.0,0.0,,,,2,14
Colby,1.0,1.0,,1.0,,3.0,1.0,3.0,,1.0,1.0,1.0,,,,2,14
Keith,0.0,1.0,,0.0,1.0,3.0,1.0,2.0,,0.0,1.0,0.0,,,,2,14
Tina,0.0,2.0,,1.0,,4.0,1.0,3.0,,,1.0,0.0,,1.0,0.0,2,13
Colby,2.0,2.0,,1.0,,4.0,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,2,13
Keith,0.0,2.0,,1.0,1.0,4.0,1.0,3.0,,,1.0,0.0,,1.0,0.0,2,13
Elisabeth,0.0,2.0,,0.0,3.0,4.0,1.0,3.0,,,1.0,0.0,,1.0,0.0,2,13
Tina,0.0,1.0,,1.0,,5.0,1.0,3.0,,,1.0,0.0,,,,2,12
