episode,voted_off_next,total_days,exile_days,votes_for_bootee,votes_against_player,total_votes,tribal_council_appearances,challenge_wins,challenge_appearances,sit_outs,reward_chl_win,reward_chl_teammates,reward_chl_win_perc,immun_chl_win,immun_chl_teammates,immun_chl_win_perc,cumsum_total_days,cumsum_exile_days,cumsum_votes_for_bootee,cumsum_votes_against_player,cumsum_total_votes,cumsum_tribal_council_appearances,cumsum_challenge_wins,cumsum_challenge_appearances,cumsum_sit_outs,cumsum_reward_chl_win,cumsum_reward_chl_teammates,cumsum_reward_chl_win_perc,cumsum_immun_chl_win,cumsum_immun_chl_teammates,cumsum_immun_chl_win_perc
66,0,33.0,0.0,8.0,1.0,61.0,8.0,0.8666666667,9.3107142856,0.0,2.0,43.0,0.3333333334,3.0,34.0,0.5333333334,198.0,0.0,43.0,2.0,330.0,43.0,6.7000000002,36.1321428562,0.0,16.0,348.0,2.6666666672,23.0,254.0,4.0333333339
66,1,33.0,0.0,5.0,4.0,61.0,8.0,0.9261904763,9.292857142799999,1.0,4.0,43.0,0.6345238096,2.0,35.0,0.29166666669999997,198.0,0.0,27.0,4.0,294.0,38.0,7.7535714295,35.9535714282,9.0,35.0,348.0,5.3369047626,17.0,264.0,2.4166666669
66,0,33.0,0.0,7.0,8.0,61.0,8.0,3.8666666667,9.3107142856,0.0,3.0,43.0,1.3666666667,5.0,34.0,2.5000000001,198.0,0.0,39.0,28.0,324.0,42.0,12.7000000002,36.1321428562,0.0,16.0,348.0,3.7000000003,29.0,254.0,9.0000000008
10,1,12.0,0.0,0.0,4.0,15.0,2.0,0.25,1.0595238095,2.0,1.0,27.0,0.125,1.0,20.0,0.125,30.0,0.0,0.0,4.0,23.0,3.0,0.875,2.3035714285999997,4.0,4.0,71.0,0.5,3.0,42.0,0.375
21,1,18.0,0.0,2.0,7.0,21.0,3.0,0.9261904763,1.7928571428,0.0,4.0,38.0,0.6345238096,2.0,31.0,0.29166666669999997,63.0,0.0,7.0,19.0,59.0,8.0,3.122619048,5.4892857142,0.0,15.0,142.0,2.1642857146,7.0,99.0,0.9583333333999999
15,1,15.0,0.0,2.0,8.0,21.0,3.0,0.7261904763,1.3928571428,0.0,4.0,33.0,0.6011904763,1.0,26.0,0.125,45.0,0.0,5.0,11.0,44.0,6.0,2.1964285717000003,3.6964285714000003,0.0,12.0,104.0,1.6964285717,4.0,68.0,0.5
66,1,33.0,0.0,3.0,0.0,61.0,8.0,1.9261904763,9.292857142799999,2.0,5.0,43.0,1.6011904763,2.0,35.0,0.325,198.0,0.0,12.0,0.0,300.0,39.0,12.7535714295,35.9535714282,17.0,41.0,348.0,10.3035714295,16.0,264.0,2.45
28,1,21.0,0.0,4.0,8.0,39.0,5.0,0.25,2.9773809524,2.0,0.0,30.0,0.0,1.0,25.0,0.25,84.0,0.0,21.0,10.0,162.0,22.0,0.5,8.7226190477,7.0,0.0,149.0,0.0,2.0,107.0,0.5
15,1,15.0,0.0,0.0,7.0,8.0,1.0,0.9595238096,1.4595238096,1.0,3.0,25.0,0.43452380960000003,3.0,22.0,0.525,45.0,0.0,0.0,7.0,8.0,1.0,3.1964285717000003,3.6964285717000003,1.0,12.0,90.0,1.6964285717,9.0,61.0,1.5
21,1,18.0,0.0,2.0,3.0,30.0,5.0,0.75,1.9773809524,1.0,2.0,29.0,0.5,1.0,25.0,0.25,63.0,0.0,9.0,3.0,126.0,19.0,1.25,5.7452380952999995,4.0,3.0,119.0,0.75,2.0,82.0,0.5
